holm_family,comparison,method_a,method_b,budget_k,snr_order,snr_label,n_subjects,mean_method_a,mean_method_b,mean_paired_difference,mean_paired_difference_pp,median_paired_difference,sd_paired_difference,sem_paired_difference,ci95_difference_low,ci95_difference_high,ci95_difference_low_pp,ci95_difference_high_pp,cohen_dz,subject_wins_method_a,subject_ties,subject_losses_method_a,shapiro_wilk_statistic,shapiro_wilk_pvalue,selected_test,test_statistic,pvalue_raw,pvalue_holm,significant_holm_0_05
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,16,0,-10_dB,9,0.3642053305176062,0.25348070058009714,0.11072462993750906,11.072462993750905,0.10581148976875288,0.051633453599633124,0.01721115119987771,0.07103564409896693,0.1504136157760512,7.103564409896693,15.04136157760512,2.1444358689633694,9,0,0,0.9632314101089436,0.831464223545309,paired_t_test,6.433307606890107,0.00020185333350548616,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,16,1,-5_dB,9,0.43553921836847703,0.2573582174132773,0.17818100095519973,17.818100095519974,0.16474397717503803,0.07571258575668602,0.025237528585562007,0.1199831556745604,0.23637884623583905,11.99831556745604,23.637884623583904,2.353386813756588,9,0,0,0.966023325825358,0.8587450596574735,paired_t_test,7.060160441269764,0.00010609440925261867,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,16,2,0_dB,9,0.5104806550800929,0.2623226763669583,0.24815797871313464,24.815797871313464,0.23101724280227814,0.10233448807136064,0.03411149602378688,0.16949672782428163,0.3268192296019876,16.949672782428163,32.68192296019876,2.424969171097893,9,0,0,0.9680880699615975,0.8779011518567619,paired_t_test,7.274907513293679,8.595048189333119e-05,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,16,3,5_dB,9,0.5553075325728464,0.26416279993198055,0.29114473264086593,29.114473264086595,0.27356487783819217,0.1163153984549807,0.03877179948499357,0.201736802699164,0.38055266258256787,20.1736802699164,38.055266258256786,2.5030626770672333,9,0,0,0.9738131971915119,0.9252295867345961,paired_t_test,7.5091880312017,6.867764829641742e-05,0.0016482635591140182,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,16,4,10_dB,9,0.5747223352146508,0.2642474727510394,0.31047486246361156,31.047486246361157,0.27799321531808946,0.12444204384103189,0.04148068128034396,0.21482023990005233,0.4061294850271708,21.482023990005235,40.612948502717074,2.4949354163631927,9,0,0,0.9693808245632446,0.8893826157585877,paired_t_test,7.484806249089578,7.028210378344397e-05,0.0016482635591140182,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,16,5,15_dB,9,0.5821838053017918,0.26443513003729274,0.3177486752644991,31.774867526449913,0.2845669142794028,0.12885501262629645,0.04295167087543215,0.21870194461182424,0.416795405917174,21.870194461182425,41.6795405917174,2.4659395764915213,9,0,0,0.9675701802403207,0.8731869985288602,paired_t_test,7.397818729474563,7.635448669857392e-05,0.0016797987073686263,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,16,6,20_dB,9,0.5832866694126339,0.26494842619034953,0.3183382432222843,31.83382432222843,0.2825613551170478,0.13109224543397682,0.04369741514465894,0.21757182320096768,0.41910466324360096,21.757182320096767,41.910466324360094,2.4283529675491895,9,0,0,0.9676531775262787,0.8739467343788914,paired_t_test,7.2850589026475685,8.51092597677806e-05,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,16,7,noise_free,9,0.5838282101000838,0.2656310760095215,0.3181971340905623,31.819713409056227,0.28476369620901565,0.13257301517453216,0.044191005058177385,0.21629249368757703,0.4201017744935475,21.6292493687577,42.01017744935475,2.400165174426004,9,0,0,0.9657032744705096,0.855693133067223,paired_t_test,7.200495523278013,9.240582880527e-05,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,32,0,-10_dB,9,0.3862976470129277,0.25810816567741135,0.12818948133551636,12.818948133551636,0.11943838408631258,0.06437832277791397,0.021459440925971324,0.07870392182105698,0.17767504084997573,7.870392182105698,17.767504084997572,1.9911901367441938,9,0,0,0.9569998497502136,0.7664565241806991,paired_t_test,5.973570410232581,0.0003330744515356652,0.0017872944551233926,True
fbcsp_vs_reconstruction,FBCSP + PCA vs Reconstruction latent,FBCSP + PCA,Reconstruction latent,32,1,-5_dB,9,0.46280549969104634,0.26474353021853964,0.1980619694725067,19.80619694725067,0.17481702910831787,0.0934692012799533,0.0311564004266511,0.12621518125057243,0.269908757694441,12.621518125057243,26.990875769444102,2.1190078310317797,9,0,0,0.9629243614317956,0.8283801412523983,paired_t_test,6.35702349309534,0.00021895685040406856,0.0017872944551233926,True
