method,subject,budget_k,snr_order,snr_label,snr_db,balanced_accuracy,n_observations,n_directions,n_model_seeds,n_channel_realizations
Semantic residual,3,64,6,20_dB,20.0,0.7943193844111889,120,2,3,20
Semantic residual,3,64,7,noise_free,,0.7977237271228472,120,2,3,20
Semantic residual,4,16,0,-10_dB,-10.0,0.345482683382135,120,2,3,20
Semantic residual,4,16,1,-5_dB,-5.0,0.4079958817774234,120,2,3,20
Semantic residual,4,16,2,0_dB,0.0,0.4635736230636195,120,2,3,20
Semantic residual,4,16,3,5_dB,5.0,0.4919776779284636,120,2,3,20
Semantic residual,4,16,4,10_dB,10.0,0.5089420685849401,120,2,3,20
Semantic residual,4,16,5,15_dB,15.0,0.5125254737431002,120,2,3,20
Semantic residual,4,16,6,20_dB,20.0,0.5126346371459968,120,2,3,20
Semantic residual,4,16,7,noise_free,,0.5128461911045128,120,2,3,20
Semantic residual,4,32,0,-10_dB,-10.0,0.3622335335910171,120,2,3,20
Semantic residual,4,32,1,-5_dB,-5.0,0.4281552383960861,120,2,3,20
Semantic residual,4,32,2,0_dB,0.0,0.4824752814696421,120,2,3,20
Semantic residual,4,32,3,5_dB,5.0,0.5082940734055628,120,2,3,20
Semantic residual,4,32,4,10_dB,10.0,0.5147001067256325,120,2,3,20
Semantic residual,4,32,5,15_dB,15.0,0.5189419043704612,120,2,3,20
Semantic residual,4,32,6,20_dB,20.0,0.5232494128862926,120,2,3,20
Semantic residual,4,32,7,noise_free,,0.5269236762257419,120,2,3,20
Semantic residual,4,64,0,-10_dB,-10.0,0.3766244319742026,120,2,3,20
Semantic residual,4,64,1,-5_dB,-5.0,0.440523075764328,120,2,3,20
Semantic residual,4,64,2,0_dB,0.0,0.4918512687246751,120,2,3,20
Semantic residual,4,64,3,5_dB,5.0,0.5081968857718314,120,2,3,20
Semantic residual,4,64,4,10_dB,10.0,0.5156846180642913,120,2,3,20
Semantic residual,4,64,5,15_dB,15.0,0.5206592643163604,120,2,3,20
Semantic residual,4,64,6,20_dB,20.0,0.5219402340528567,120,2,3,20
Semantic residual,4,64,7,noise_free,,0.5187678574472581,120,2,3,20
Semantic residual,5,16,0,-10_dB,-10.0,0.2954269660469977,120,2,3,20
Semantic residual,5,16,1,-5_dB,-5.0,0.3222328281779328,120,2,3,20
Semantic residual,5,16,2,0_dB,0.0,0.3440776132418126,120,2,3,20
Semantic residual,5,16,3,5_dB,5.0,0.3554670571950341,120,2,3,20
Semantic residual,5,16,4,10_dB,10.0,0.35693434531841,120,2,3,20
Semantic residual,5,16,5,15_dB,15.0,0.3611018375679107,120,2,3,20
Semantic residual,5,16,6,20_dB,20.0,0.3610362624718156,120,2,3,20
Semantic residual,5,16,7,noise_free,,0.3591206443291128,120,2,3,20
Semantic residual,5,32,0,-10_dB,-10.0,0.2911634520460972,120,2,3,20
Semantic residual,5,32,1,-5_dB,-5.0,0.3237477123972297,120,2,3,20
Semantic residual,5,32,2,0_dB,0.0,0.3433262518915098,120,2,3,20
Semantic residual,5,32,3,5_dB,5.0,0.3453146421034561,120,2,3,20
Semantic residual,5,32,4,10_dB,10.0,0.3420536669224615,120,2,3,20
Semantic residual,5,32,5,15_dB,15.0,0.3407858505815392,120,2,3,20
Semantic residual,5,32,6,20_dB,20.0,0.3390818372989041,120,2,3,20
Semantic residual,5,32,7,noise_free,,0.3391983392145624,120,2,3,20
Semantic residual,5,64,0,-10_dB,-10.0,0.3114266209694299,120,2,3,20
Semantic residual,5,64,1,-5_dB,-5.0,0.3386761911989037,120,2,3,20
Semantic residual,5,64,2,0_dB,0.0,0.340626407842704,120,2,3,20
Semantic residual,5,64,3,5_dB,5.0,0.345873511155187,120,2,3,20
Semantic residual,5,64,4,10_dB,10.0,0.3402134789398538,120,2,3,20
Semantic residual,5,64,5,15_dB,15.0,0.3373928420530667,120,2,3,20
Semantic residual,5,64,6,20_dB,20.0,0.3347681065036881,120,2,3,20
Semantic residual,5,64,7,noise_free,,0.3313666530611696,120,2,3,20
Semantic residual,6,16,0,-10_dB,-10.0,0.3182329058315604,120,2,3,20
Semantic residual,6,16,1,-5_dB,-5.0,0.3775877044532099,120,2,3,20
Semantic residual,6,16,2,0_dB,0.0,0.4185731160365268,120,2,3,20
Semantic residual,6,16,3,5_dB,5.0,0.4452274267360774,120,2,3,20
Semantic residual,6,16,4,10_dB,10.0,0.4458401429790249,120,2,3,20
Semantic residual,6,16,5,15_dB,15.0,0.4466106801338158,120,2,3,20
Semantic residual,6,16,6,20_dB,20.0,0.4445323861623381,120,2,3,20
Semantic residual,6,16,7,noise_free,,0.4442827877985643,120,2,3,20
Semantic residual,6,32,0,-10_dB,-10.0,0.3419428850226658,120,2,3,20
Semantic residual,6,32,1,-5_dB,-5.0,0.3870326128396717,120,2,3,20
Semantic residual,6,32,2,0_dB,0.0,0.4306616714923374,120,2,3,20
